"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GB42055",17.7459357876909,-0.649815189219085,1.13804517165293,-0.570992439847774,0.568004767592796,0.760504969713673
"GB42698",12.2302678899742,0.765221584916459,1.34118785516697,0.570555110507762,0.568301254731514,0.760808415257578
"GB45777",8.6346603591719,0.894504141321738,1.56977692990882,0.569828823623808,0.568793803898268,0.761187600962775
"GB41766",33.0803116529741,0.498576128745362,0.874762368111978,0.569956078267806,0.568707488320072,0.761187600962775
"GB41656",3.4139466614974,1.42056808636534,2.49297561004905,0.569828313056537,0.568794150223653,0.761187600962775
"GB45170",47.105719331664,-0.427422906832682,0.750253469643765,-0.569704671989895,0.568878020767313,0.761200728246893
"GB42041",11.6224926563431,-0.749350475676477,1.31555513470747,-0.569607807310262,0.568943731973738,0.761200728246893
"GB47497",42.2585517587391,-0.469243186972504,0.824166586055341,-0.569354782045235,0.569115396736043,0.761269355678078
"GB46059",41.7395915649522,0.426498629185013,0.749535607478265,0.56901716867051,0.569344488739774,0.761269355678078
"GB48532",99.7997673709399,0.328007713400259,0.576442722190827,0.569020478138112,0.569342242843286,0.761269355678078
"GB45455",137.722416119383,0.308492899883389,0.541870506617109,0.569311110525845,0.569145028141821,0.761269355678078
"GB44486",88.2313561056317,0.343758210886747,0.60407973780891,0.569060985448065,0.569314753802165,0.761269355678078
"GB46409",3.73635322210767,1.69332882745685,2.97829750725983,0.568555969754274,0.569657512468789,0.761324454135813
"GB48380",55.5079181560211,-0.427422941072516,0.751746376151862,-0.568573330889156,0.569645727677256,0.761324454135813
"GB51112",111.561565258227,-0.329637075624898,0.579791143263091,-0.56854451720267,0.569665286559573,0.761324454135813
"GB42781",135.302978757702,-0.367301963587449,0.645892584161014,-0.568673449106956,0.569577769394162,0.761324454135813
"GB53567",103.247922288855,0.38992352760751,0.686217668706122,0.568221346358975,0.569884678579973,0.761524220229796
"GB42174",146.910590333333,0.308596175235827,0.543576399664351,0.567714447180525,0.570228879996424,0.761654441285193
"GB41029",91.8387358937099,-0.33431359026519,0.588865684161601,-0.567724693859806,0.57022192117884,0.761654441285193
"GB41146",92.0702861894375,0.340534294194759,0.599993872333226,0.567562953385685,0.570331768556926,0.761654441285193
"GB40707",4.33994848667559,-1.16438618268655,2.05138447300021,-0.567609922962711,0.570299867741873,0.761654441285193
"GB51335",466.347310768472,-0.256311097511069,0.45133373044867,-0.567897057585904,0.57010487003316,0.761654441285193
"GB42074",306.037195677414,0.276928127891869,0.488031953804878,0.567438516541457,0.570416287730662,0.761673924967803
