"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GB42375",106.542622639973,1.08075358049043,0.466032264174076,2.31905312909138,0.0203921557490311,0.0705179031165326
"GB46410",28.5686037379193,-1.78156267552533,0.768320413801628,-2.3187756611987,0.0204072035505166,0.0705470200037995
"GB55356",296.440041105909,-0.949136857680091,0.409479927416499,-2.31790814184326,0.0204543138675193,0.0706564202903456
"GB55819",11.657664728015,2.53709897056184,1.09460272926063,2.31782627864959,0.0204587643118043,0.0706564202903456
"GB54889",4.49474325514404,-5.94828748224408,2.56620496263133,-2.31793156387043,0.020453040698177,0.0706564202903456
"GB44789",91.6156686690043,1.15062846134093,0.496465059366612,2.3176423791211,0.0204687649810121,0.0706680293408669
"GB44419",284.462958996146,1.03403155970524,0.446199788656919,2.31741830899948,0.0204809559356604,0.07068719033047
"GB40028",23.5202611845899,1.86834148068054,0.806268452720484,2.31726973116267,0.0204890430823444,0.0706921797628765
"GB43270",87.9949951019778,1.2083924570561,0.521616687860457,2.31662921294298,0.0205239386165387,0.0707896314434344
"GB55020",1057.15359697403,-0.855697186016826,0.369487716640039,-2.31590157799605,0.0205636431561256,0.0709036014751542
"GB47594",93.9457984505631,1.1236026611839,0.485227215387073,2.31562168310692,0.0205789338872134,0.0709333459506151
"GB54222",202.36887819292,0.985662651946586,0.425726423420927,2.31524894326804,0.0205993121548528,0.0709806016757053
"GB51725",57.9916936365973,1.28732972359742,0.55605185798689,2.31512529830944,0.0206060759028214,0.0709809294205925
"GB51755",118.797497959113,1.10449510691771,0.477143037429954,2.31480922967434,0.0206233746025503,0.0710001408314462
"GB53137",12.8782709021119,-5.65951191463525,2.44501281268837,-2.31471666948544,0.0206284428952553,0.0710001408314462
"GB53628",26.3834387500792,1.81559187382201,0.784388878897694,2.31465784723194,0.0206316643735121,0.0710001408314462
"GB53220",407.654095957581,0.84646020374529,0.365721095173633,2.31449652458089,0.0206405016724563,0.0710062368659808
"GB53133",345.380683296745,-0.964903906440047,0.416916442446671,-2.31438199169483,0.0206467778185091,0.0710062368659808
"GB44961",215.758237329088,-0.939936978765381,0.406318437351169,-2.3133013232009,0.0207060779993645,0.0711871751373501
"GB44837",65.1007417575196,-1.38342293354413,0.598150156947423,-2.31283552712623,0.0207316836702847,0.0712521927628384
"GB40579",29.1996686454153,-1.8996479043209,0.821572951272802,-2.31220843064261,0.020766199918549,0.0713477830642466
"GB52115",471.241226879898,-0.847949008625488,0.366866718242521,-2.31132715632423,0.0208147911247183,0.0714916543180064
"GB52282",31.6507893988114,1.64826744702314,0.713186138360763,2.31113219728531,0.0208255540439758,0.07150554749809
"GB50364",33.9082109397657,1.6017446516242,0.693401615003702,2.30998113786575,0.0208891984135241,0.0717009441836668
"GB43447",12.2330361292574,-3.057778756298,1.3240653491694,-2.30938658595377,0.0209221387181611,0.0717740788742077
"GB50475",17.7803851221151,2.09670263235062,0.907917707305134,2.30935316657059,0.0209239916146812,0.0717740788742077
"GB46615",140.014857626259,1.08706048105121,0.470792906949569,2.3089992754875,0.0209436214467018,0.0718182689042183
"GB54627",24.0547723890184,-1.96103868590918,0.849445720399914,-2.308609766126,0.0209652455247169,0.071869266784247
"GB55231",87.0161087134356,-1.3718874066225,0.594334038720022,-2.30827668826953,0.0209837521698995,0.0719095486466228
"GB48154",155.886070228518,-1.08284506055203,0.469162299358934,-2.30803937578027,0.0209969465329907,0.0719316056958975
"GB41778",193.356390232487,-0.94923303451692,0.411346677487895,-2.30762295277042,0.021020116755261,0.0719878129803727
"GB43142",31.3584887561861,-1.86335307441552,0.807533089922804,-2.30746343111915,0.0210289986110311,0.0719950663286634
"GB53946",444.377275252346,-0.85325566126026,0.370053875095226,-2.30576064374598,0.0211240104440841,0.0722970955520359
"GB55588",20.01639415301,1.99706365003583,0.866302708896034,2.30527231362438,0.0211513271165634,0.0723673178491483
"GB55700",86.8138486761829,1.1540514304036,0.500733883170982,2.30472007026042,0.0211822561026605,0.0724342116289047
"GB55235",283.795211701698,-0.887327333578599,0.385011040788762,-2.30468022880787,0.0211844889891751,0.0724342116289047
"GB45039",43.6745598834939,1.38209922053273,0.599758032561257,2.30442802846758,0.0211986281394604,0.0724592799988492
"GB43659",10.1117009984084,-4.32094740840005,1.87556889116426,-2.30380628979073,0.0212335198976412,0.072531959496307
"GB49582",17.100926150015,2.36986798872661,1.02865869667545,2.30384285515287,0.0212314664786181,0.072531959496307
"GB55391",54.8540058674225,-1.34558977945952,0.584355730062031,-2.30268945821183,0.0212963217453014,0.072723146826111
"GB49126",137.130193601807,1.07301704439898,0.466115669231221,2.30204027718858,0.0213329008927101,0.0728246943880714
"GB45674",3.42446178566292,5.5341896890801,2.40482781255224,2.30128313561322,0.0213756323648934,0.0729471724565328
"GB42987",80.9096973778372,1.22893053776441,0.534077799590582,2.30103280590673,0.0213897768319983,0.0729720463460866
"GB44910",276.22441275803,0.90105344635702,0.391692144116086,2.30041235161963,0.0214248697188053,0.0730367249995673
"GB50430",140.45417835693,1.023190191278,0.444800762748095,2.30033371560891,0.0214293209482947,0.0730367249995673
"GB54361",37.2586031160573,2.38026633889672,1.03465038111252,2.30055135758738,0.0214170031881409,0.0730367249995673
"GB45128",147.785171139127,0.983066520943327,0.427404169500662,2.30008640788845,0.0214433251707379,0.0730610605369187
"GB55630",7.4086545826809,3.41459808710374,1.48511476112714,2.29921496740913,0.0214927355103541,0.0732059765671067
"GB50356",1551.85303247044,-0.86703511039203,0.377126336282236,-2.29905744302926,0.0215016776531408,0.0732130060588711
"GB46593",63.9679785602317,1.31508765616759,0.572131821767865,2.29857456993743,0.0215291089626117,0.0732829663569041
"GB49649",85.667821148398,-1.27311673613431,0.554014264698667,-2.29798548025973,0.0215626155346089,0.0733735549074095
"GB47017",110.410813909545,-1.17376328998306,0.510827162291314,-2.29776992421105,0.0215748873923305,0.0733918508801425
"GB45644",101.722441024739,-1.41691756288143,0.616926902805574,-2.29673492343706,0.0216338959183579,0.0735689741390025
"GB42814",225.895595178685,0.993870846289665,0.432754784676144,2.29661434484991,0.0216407795968825,0.0735689741390025
"GB54031",6.69360837762995,-5.60205275616353,2.44038556413527,-2.29556052063788,0.021701022274343,0.0737502174610813
"GB50296",1480.73272013483,-0.988806179124583,0.430885848444386,-2.29482166261538,0.0217433466616619,0.073870469794679
"GB43456",192.377325870418,-1.04037196043166,0.453553702087359,-2.29382310329213,0.0218006618003604,0.0740303308885593
"GB46908",251.532610848588,-1.00060655697858,0.436229915400178,-2.29375960165563,0.0218043110988006,0.0740303308885593
"GB41243",38.6473076519998,-1.62760328563187,0.709710314386919,-2.29333469253279,0.02182874336732,0.0740896506383146
"GB46664",16.5570488133863,2.34455558887881,1.02257132514869,2.29280396508077,0.0218592936470004,0.0741696912906191
"GB52948",121.614014385942,1.04487461179603,0.455917777764082,2.29180493228476,0.0219169019431964,0.0743414608933661
"GB42211",344.713933611704,0.872212257314153,0.380602141925466,2.29166407971755,0.0219250346909908,0.0743453549700242
"GB44563",4.7022636428521,4.26168715921624,1.86031924642126,2.29083646122274,0.0219728739758447,0.0744838441397742
"GB50230",165.727456720591,-0.991936950496653,0.433047145432356,-2.29059805833912,0.0219866713446285,0.0745068862757802
"GB51744",93.57168278438,1.3452635149805,0.587448013935466,2.29001287444693,0.0220205703368745,0.0745964895466651
"GB53491",14.8890416606533,-2.69872184004627,1.17853275278004,-2.28989973649885,0.0220271295232214,0.0745964895466651
"GB52303",54.3688199751811,-1.39900652080912,0.611080094389524,-2.28939959532923,0.0220561456361257,0.0746709968673415
"GB44745",30.4043356300316,1.59607556933146,0.697363870330064,2.28872707239053,0.0220952150331027,0.0747557116377449
"GB52490",32.4208149629505,-1.91953259863184,0.838653659495328,-2.28882635507362,0.0220894435424506,0.0747557116377449
"GB45168",123.855359529285,-1.16818142282379,0.510470997836168,-2.28843837901779,0.0221120047791673,0.0747887444771074
"GB54337",85.1448728258187,-1.32261298145167,0.578400017662592,-2.28667520930681,0.0222147877404258,0.0751125161083522
"GB45540",213.230761304901,-0.945492059717686,0.413585087442954,-2.2860883731648,0.0222490890487301,0.0752046058541388
"GB46654",30.6674003375567,1.69366209697369,0.741078622620884,2.28540136670508,0.022289303950599,0.0753166194445002
