"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GB46728",46.7219683879762,-0.104185721331126,0.514561248462313,-0.202474868914962,0.839545503227858,0.928006394628591
"GB52114",94.092695878007,-0.0850583403797457,0.420002194743121,-0.202518799769055,0.83951116280864,0.928006394628591
"GB44593",27.9414260174614,-0.124333331112319,0.615991446085008,-0.201842626066532,0.840039756521511,0.928460607877595
"GB41829",135.347201349803,0.0733342172550948,0.363548709195415,0.201717721450294,0.840137407668522,0.928476426826208
"GB54976",23.0320340697612,-0.136115043781637,0.679398472934749,-0.200346408189101,0.841209669728951,0.928912067734167
"GB53933",20.7813395197466,-0.146320438472257,0.728393367610031,-0.200881069184302,0.840791570584504,0.928912067734167
"GB44943",160.543213398957,-0.0754127159082545,0.375076155329121,-0.201059744365998,0.840651858519822,0.928912067734167
"GB45269",41.1032834853325,-0.118650797221962,0.590949302778227,-0.200779993586844,0.840870607175494,0.928912067734167
"GB44619",2.40028775188999,0.443119726314338,2.21396799159526,0.200147304747189,0.841365377928864,0.928912067734167
"GB43847",6.34309985659925,-0.238215643371051,1.1900215438264,-0.20017758889061,0.841341693912613,0.928912067734167
"GB49082",20.6806060266818,0.137805356389535,0.688069600966714,0.200278222139043,0.84126299370887,0.928912067734167
"GB46887",103.9501150164,-0.0802465408200407,0.399299748315224,-0.200968172804083,0.840723460741699,0.928912067734167
"GB43625",36.1025718844348,0.113222546873077,0.565134885320409,0.200346058638521,0.841209943088405,0.928912067734167
"GB49432",128.581816565548,-0.0805880802961231,0.402574354428507,-0.200181853139964,0.841338359025428,0.928912067734167
"GB51561",94.5241133730982,-0.0827301487117045,0.415102145120105,-0.199300701488227,0.842027530472286,0.929551002476392
"GB54978",87.2361191363399,-0.0806596737622294,0.405512530331076,-0.198907968876759,0.842334735809665,0.929798007693994
"GB47996",99.1991511858033,0.0810682020494864,0.408110126059127,0.198642956577219,0.842542048667034,0.929934710144583
"GB40735",5044.5148113321,-0.070822738855991,0.356788972754547,-0.198500358094625,0.84265360460623,0.929965706678356
"GB42157",2.66402560857128,-0.334988331464796,1.69482228696793,-0.197653957019941,0.843315815892999,0.9306043487385
